id,canonicalNameAr,canonicalNameEn,brand,category,subcategory,dimensions,styleTags,roomTags,budgetTier,qualityScore,offerIds
prd_d1a9bd38c66f7835db28,دولاب PLATSA بثلاثة أبواب و6 أدراج,PLATSA Wardrobe with 3 doors and 6 drawers,IKEA,storage,wardrobe,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|modular|large-storage,,luxury,68,off_fdc853b1a28ab4f79506
prd_7f9c05bd2967ce74ac62,دولاب PLATSA بثلاثة أبواب,PLATSA Wardrobe with 3 doors,IKEA,storage,wardrobe,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|modular|clean,,balanced,68,off_75bdf4f5b3e0416d2a2f
prd_d31197a71da7ef31e1a0,دولاب PAX / MEHAMN / AULI بمرآة,PAX / MEHAMN / AULI Wardrobe with mirror glass,IKEA,storage,mirrored-wardrobe,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",mirror|oak-effect|premium,,luxury,68,off_d74d6c53871e361f9c39
prd_5319860b9e99af7e9a7d,دولاب RAKKESTAD بثلاثة أبواب,RAKKESTAD Wardrobe with 3 doors,IKEA,storage,wardrobe,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",dark-wood|compact|modern,,economic,68,off_fd33a206ac3132326957
prd_c010e79270a8f145b2d2,دولاب KLEPPSTAD بثلاثة أبواب,KLEPPSTAD Wardrobe with 3 doors,IKEA,storage,wardrobe,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|budget|simple,,economic,68,off_c2a1c9b8d483db02ed7d
prd_d1dcf7bf1c677b93f67a,دولاب PAX / BERGSBO أبيض,PAX / BERGSBO Wardrobe white,IKEA,storage,wardrobe,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|classic|modular,,luxury,68,off_2393a12b5aa7431845f5
prd_7db18128223dfcdaa965,مرتبة فوم ÅKREHAMN صلبة,ÅKREHAMN Foam mattress firm,IKEA,mattresses,foam-mattress,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",foam|firm|white,,balanced,68,off_3d40bcac1df20d9b0b36
prd_adff6e70c14eb4ac0df2,مرتبة نوابض منفصلة VESTERÖY صلبة,VESTERÖY Pocket sprung mattress firm,IKEA,mattresses,pocket-sprung-mattress,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",pocket-spring|firm|value,,economic,68,off_4b606f42e45c4281b9e8
prd_311ca783af8cc79c893e,مرتبة نوابض منفصلة VATNESTRÖM صلبة,VATNESTRÖM Pocket sprung mattress firm,IKEA,mattresses,pocket-sprung-mattress,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",premium|pocket-spring|natural,,luxury,68,off_cd068baac9041da37d10
prd_56dbd448cd4c284fb3f6,مرتبة VALEVÅG مع طبقة علوية,VALEVÅG Mattress and mattress pad firm,IKEA,mattresses,mattress-set,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",firm|mattress-pad|light-blue,,balanced,80,off_47c61df8c8b60ff7a9aa
prd_390e0db5cd050ef903cf,سرير MALM مع مرتبة VESTERÖY,MALM Bed frame with VESTERÖY mattress,IKEA,bedroom,bed-and-mattress-set,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|complete-set|modern,,balanced,68,off_2827752b439817094253
prd_ac50fc6995c049642dbf,وحدة تلفزيون BRIMNES بيضاء,BRIMNES TV bench white,IKEA,tv-media,tv-bench,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|storage|modern,living-room|majlis,economic,80,off_a2b90c8dc0e50aa851ca
prd_ac04fa1267712e092fdb,وحدة تلفزيون LACK بيضاء,LACK TV bench white,IKEA,tv-media,tv-bench,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|minimal|budget,living-room|bedroom,economic,80,off_1f4d54d7d1d4c3c433f9
prd_268ee1d5e4306fe50eb4,وحدة تلفزيون BESTÅ BURS أبيض لامع,BESTÅ BURS TV bench high-gloss white,IKEA,tv-media,tv-bench,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|high-gloss|modern,living-room|majlis,balanced,80,off_5f60568a505fbeba2e08
prd_59644e999ab37dbb69e2,وحدة تلفزيون BYÅS أبيض لامع,BYÅS TV bench high-gloss white,IKEA,tv-media,tv-bench,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|high-gloss|storage,living-room,economic,80,off_dafeab655235a4f3c7be
prd_afc608c11b609c2e2d8a,وحدة تلفزيون VIHALS بيضاء,VIHALS TV bench white,IKEA,tv-media,tv-bench,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|modern|drawers,living-room|majlis,balanced,56,off_3b447666ec8469af081e
prd_e484ff5f84209e1a83bd,وحدة تلفزيون VIHALS رمادي داكن,VIHALS TV bench dark grey,IKEA,tv-media,tv-bench,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",dark-grey|modern|drawers,living-room,balanced,68,off_c24fb9c88174c3632426
prd_4f22bd77107a5154f1bd,وحدة تلفزيون BESTÅ بأبواب بيضاء,BESTÅ TV bench with doors white,IKEA,tv-media,tv-bench-with-doors,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|closed-storage|modern,living-room|majlis,balanced,68,off_931551b12599ba66a43c
prd_f18eac56c2108910dba0,وحدة تلفزيون KALLAX بيضاء,KALLAX TV bench white,IKEA,tv-media,tv-bench,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|open-storage|modular,living-room|bedroom,economic,80,off_07dede8d555c52c1d0ca
prd_8fa275551d587be68253,تشكيلة تلفزيون وتخزين VIHALS بيضاء,VIHALS TV/storage combination white,IKEA,tv-media,tv-storage-combination,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|large-storage|modern|modular|storage,living-room|majlis,luxury,61,off_60cb2dd9e115f479844c|off_e66f68d76de801175291|off_52b7a306e74d292e8b10|off_5568b250535c7ebe049e|off_6b58795203d028d01ea4
prd_027753f4335c09bb0378,تشكيلة تلفزيون وتخزين VIHALS رمادي داكن,VIHALS TV/storage combination dark grey,IKEA,tv-media,tv-storage-combination,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",dark-grey|modular|storage|large-storage|modern,living-room|majlis,balanced,64,off_b8ea0b942b4f59a7aa19|off_3f310934d2a550d7c035|off_b09cb802204653ae3e3d
prd_b830ed4e09235e9c45ff,طاولة طعام MÖRBYLÅNGA,MÖRBYLÅNGA Table oak veneer brown stained,IKEA,dining,dining-table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",oak|brown|solid-wood,dining-room|majlis,luxury,80,off_57b176f7687e4533c5dd
prd_767e643d246617c72c4e,طاولة VIHALS أخضر/أبيض,VIHALS Table green/white,IKEA,dining,dining-table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",green|white|minimal,dining-room|kitchen,economic,68,off_574bd6715e55eaf88dce
prd_1b4b6155eb573dc99d3d,طاولة HAUGA رمادي/قشرة بتولا,HAUGA Table grey/birch veneer,IKEA,dining,dining-table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",grey|birch|traditional,dining-room|kitchen,economic,56,off_929042cd1e58516e5c85
prd_59f6e78e85c9cf8dd9d2,طاولة HAUGA أبيض/قشرة بتولا,HAUGA Table white/birch veneer,IKEA,dining,dining-table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|birch|traditional,dining-room|kitchen,economic,80,off_5069c235e20a4dd55eda
prd_a8ad0db8ea7e2802c48b,طاولة STOCKHOLM 2025 قشرة بلوط,STOCKHOLM 2025 Table oak veneer,IKEA,dining,dining-table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",oak|premium|oval,dining-room|majlis,luxury,80,off_21dd0b4658adf54f8af5
prd_18836b57044927de99a4,سطح طاولة STOCKHOLM 2025 قشرة بلوط,STOCKHOLM 2025 Table top oak veneer,IKEA,dining,table-top,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",oak|premium|table-top,dining-room,luxury,68,off_9c821dcb5f01470fca0e
prd_e2196ad2fcd30e32c0f3,طاولة HAUGA مع كرسيين أبيض,HAUGA / HAUGA Table and 2 chairs white,IKEA,dining,dining-set,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|compact|2-seat,dining-room|kitchen,balanced,56,off_0fe758cd76edd350a1f8
prd_edd3fff12f1dea50dfa8,طاولة HAUGA مع كرسيين رمادي,HAUGA / HAUGA Table and 2 chairs grey,IKEA,dining,dining-set,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",grey|compact|2-seat,dining-room|kitchen,balanced,56,off_949870accd977ad8d472
prd_fc28c67ab661189e0c63,طاولة HAUGA مع كرسيين STEFAN,HAUGA / STEFAN Table and 2 chairs,IKEA,dining,dining-set,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",grey|brown-black|upholstered,dining-room|kitchen,balanced,68,off_92357e55b76542443dbd
prd_968d5f483feff89ae3b6,طاولة STOCKHOLM 2025 مع 6 كراسي جلد بني داكن,STOCKHOLM 2025 Table and 6 chairs dark brown leather,IKEA,dining,dining-set,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",oak|dark-brown|leather,dining-room|majlis,luxury,68,off_9650d8c254ae0ae3357c
prd_547f9fc4fe658d3c5155,طاولة STOCKHOLM 2025 مع 6 كراسي جلد بلوط,STOCKHOLM 2025 Table and 6 chairs oak leather,IKEA,dining,dining-set,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",oak|leather|premium,dining-room|majlis,luxury,68,off_4af31f2b23ab0666d090
prd_7b16cbe193ae3bb6f1c2,طاولة STOCKHOLM 2025 مع 6 كراسي راتان,STOCKHOLM 2025 Table and 6 chairs oak rattan,IKEA,dining,dining-set,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",oak|rattan|premium,dining-room|majlis,luxury,68,off_9683859aea98c9e3b18c
prd_dacd3b5270539f9f0e76,مرآة LINDBYN ذهبية,LINDBYN Mirror gold-colour,IKEA,mirrors,wall-mirror,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",gold|rounded|elegant,living-room|bedroom|hallway,balanced,68,off_893c11023a5e1c22efc5
prd_bfd7ccda2dfd865f1f78,مرآة واقفة KNAPPER بيضاء,KNAPPER Standing mirror white,IKEA,mirrors,standing-mirror,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|standing|storage-hooks,bedroom|dressing-room,balanced,68,off_ed5a9e6b4e3f19025a04
prd_128c84b2afba97a01224,,"KRAGSTA Coffee table, black, 90 cm",IKEA,living room,Coffee table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_96c2b8d82a153ed5d982
prd_a34a28a36659a0f945ee,,"LACK Coffee table, black-brown, 90x55 cm",IKEA,living room,Coffee table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_484ced522d42e4e3cff8
prd_ed3a9c123add5624b8c2,,"ÄMMARYD Coffee table, white, 98x59 cm",IKEA,living room,Coffee table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_fad861e8c363eae37e63
prd_d053e14641c6b13be938,,"UGGLERUM Coffee table, walnut veneer, 130x65 cm",IKEA,living room,Coffee table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_bd08ab25e849d937bc57
prd_0f9b00df4e57e781cb4f,,"VALNÄS Coffee table, oak veneer, 118x72 cm",IKEA,living room,Coffee table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_4fc34b44c61525b3a17f
prd_0f602ce392714718b0df,,"VITTSJÖ Coffee table, light beige/glass, 75 cm",IKEA,living room,Coffee table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_bc8b056ed2cc14bbeceb
prd_8107e36231cd7238f2f9,,"TONSTAD Coffee table, off-white, 84x82 cm",IKEA,living room,Coffee table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_471b1fe7b43e71a2bf93
prd_cc34fcb42086cdef1e30,,"ÖKENSAND Floor lamp, beech/white",IKEA,lighting,Floor lamp,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_092039cc73a9e6245a47
prd_a7b521d495bf97eaaf57,,"LAUTERS Floor lamp, brown ash/white",IKEA,lighting,Floor lamp,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_5e3a98528fff781cbbc6
prd_78f3a278eeef36b29718,,"UPPVIND Floor lamp, brass-plated/white",IKEA,lighting,Floor lamp,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_d8f1d7db5b58c9650869
prd_9f0f28d5e167c91ff237,,"NYFORS Floor lamp, nickel-plated white",IKEA,lighting,Floor lamp,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_920b8c43247b20588866
prd_767866d59c0d827c6244,,"NYMÅNE Floor lamp with 3-spot, white",IKEA,lighting,Floor lamp,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_1d18a8906134fc05f1d6
prd_92f84acb8adf800850b4,,"BARLAST Floor lamp, black/white, 150 cm",IKEA,lighting,Floor lamp,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_bb6d542899511395c85f
prd_3dcb6737d6bbfb7a672a,,"BLÄNKFYR Floor lamp, nickel-plated",IKEA,lighting,Floor lamp,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_1533c041f2175c01e047
prd_f84dbd3e88d9c4cde1c2,,"ÅRSTID Floor lamp, nickel-plated/white",IKEA,lighting,Floor lamp,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_9a6de319a1338fb026e4
prd_e23d5233cf7fb178347c,,"POÄNG Armchair and footstool, birch veneer/Knisa black",IKEA,living room,Armchair set,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_abf08069c749287ff0f7
prd_2b993000105baa24cef3,,"EKTORP Armchair, Kilanda light beige",IKEA,living room,Armchair,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_7da260bc6a7c0ae9726a
prd_e533e3df8edcf6f729bf,,"VISKAFORS 1.5-seat armchair, Lejde light beige",IKEA,living room,Armchair,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_fc29d786909b057c6558
prd_ff93cb7a59d21adb5c6c,,"POÄNG Armchair, black-brown/Hillared anthracite",IKEA,living room,Armchair,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_abdade4bb8137bc85cee
prd_9cc421f5996640c300b4,,"POÄNG Armchair and footstool, birch veneer/Knisa light beige",IKEA,living room,Armchair set,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_1024a95437dfd76bc28a
prd_c88a898c8a6136b20a1d,,"PERSBOL Armchair, black/Tibbleby beige-grey",IKEA,living room,Armchair,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_63567ac20e63cdb4ed3f
prd_16811da3764fc682cd5c,,"ÅRSUNDA Armchair, Knisa light grey",IKEA,living room,Armchair,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_acc48617cabc624fbafa
prd_4f63a8ae381e675987a9,,"VEDBO High-back armchair, Gunnared dark grey",IKEA,living room,Armchair,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_b2e5266cc5f7625397b0
prd_9f2698ba4fc3e4b4da97,,"VISKAFORS 2-seat sofa, Lejde grey-green",IKEA,living room,2-seat sofa,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_278abaec273c8e25a090
prd_6eb19a0dd232a5eb5a41,,"ÄPPLARYD 2-seat sofa, Lejde grey/black",IKEA,living room,2-seat sofa,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_39e7e6cc35134c122471
prd_7cf6f0c232d91ba13498,,"LANDSKRONA 2-seat sofa, Grann/Bomstad golden-brown/wood",IKEA,living room,2-seat sofa,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",,,,56,off_ecb32489baf243968982
